id,Max_obs,Parent,Child,estimate
1,8,Appraisals,Memory,0.0
1,8,Appraisals,Strategies,0.0
1,8,Appraisals,Threat,0.9375
1,8,Appraisals,Triggers,0.0
1,8,Memory,Appraisals,0.3214285714285715
1,8,Memory,Strategies,0.0
1,8,Memory,Threat,0.625
1,8,Memory,Triggers,0.0
1,8,Threat,Appraisals,0.0
1,8,Threat,Memory,0.0
1,8,Threat,Strategies,0.2291666666666667
1,8,Threat,Triggers,0.0
1,8,Triggers,Appraisals,0.1339285714285715
1,8,Triggers,Memory,0.0
1,8,Triggers,Strategies,0.0
1,8,Triggers,Threat,0.125
2,40,Appraisals,Memory,0.1625
2,40,Appraisals,Strategies,0.0
2,40,Appraisals,Threat,0.5
2,40,Appraisals,Triggers,0.0
2,40,Memory,Appraisals,0.0
2,40,Memory,Strategies,0.0
2,40,Memory,Threat,0.4875
2,40,Memory,Triggers,0.0
2,40,Threat,Appraisals,0.0
2,40,Threat,Memory,0.0
2,40,Threat,Strategies,0.75
2,40,Threat,Triggers,0.0
2,40,Triggers,Appraisals,0.0
2,40,Triggers,Memory,0.1125
2,40,Triggers,Strategies,0.0
2,40,Triggers,Threat,0.15
3,5,Appraisals,Memory,1.0
3,5,Appraisals,Strategies,0.6666666666666666
3,5,Appraisals,Threat,0.8
3,5,Appraisals,Triggers,0.0
3,5,Memory,Appraisals,0.3333333333333334
3,5,Memory,Strategies,1.0
3,5,Memory,Threat,0.8
3,5,Memory,Triggers,0.0
3,5,Threat,Appraisals,0.0
3,5,Threat,Memory,0.0
3,5,Threat,Strategies,0.8
3,5,Threat,Triggers,0.0
3,5,Triggers,Appraisals,0.5333333333333333
3,5,Triggers,Memory,0.5333333333333333
3,5,Triggers,Strategies,0.0
3,5,Triggers,Threat,0.4
4,32,Appraisals,Memory,0.0
4,32,Appraisals,Strategies,0.5357142857142857
4,32,Appraisals,Threat,0.2785714285714286
4,32,Appraisals,Triggers,0.0
4,32,Memory,Appraisals,0.0
4,32,Memory,Strategies,0.0
4,32,Memory,Threat,0.0
4,32,Memory,Triggers,0.0
4,32,Threat,Appraisals,0.0
4,32,Threat,Memory,0.0
4,32,Threat,Strategies,0.0
4,32,Threat,Triggers,0.0
4,32,Triggers,Appraisals,0.1026785714285714
4,32,Triggers,Memory,0.0
4,32,Triggers,Strategies,0.0
4,32,Triggers,Threat,0.178125
5,31,Appraisals,Memory,0.5113636363636364
5,31,Appraisals,Strategies,0.07878787878787878
5,31,Appraisals,Threat,0.7305194805194806
5,31,Appraisals,Triggers,0.0
5,31,Memory,Appraisals,0.0
5,31,Memory,Strategies,0.3166666666666667
5,31,Memory,Threat,0.1607142857142857
5,31,Memory,Triggers,0.0
5,31,Threat,Appraisals,0.0
5,31,Threat,Memory,0.0
5,31,Threat,Strategies,0.4833333333333333
5,31,Threat,Triggers,0.0
5,31,Triggers,Appraisals,0.06158357771260997
5,31,Triggers,Memory,0.282258064516129
5,31,Triggers,Strategies,0.0
5,31,Triggers,Threat,0.3110599078341014
6,2,Appraisals,Memory,0.0
6,2,Appraisals,Strategies,1.0
6,2,Appraisals,Threat,1.0
6,2,Appraisals,Triggers,0.0
6,2,Memory,Appraisals,0.75
6,2,Memory,Strategies,0.0
6,2,Memory,Threat,0.75
6,2,Memory,Triggers,0.0
6,2,Threat,Appraisals,0.0
6,2,Threat,Memory,0.0
6,2,Threat,Strategies,1.0
6,2,Threat,Triggers,0.0
6,2,Triggers,Appraisals,1.0
6,2,Triggers,Memory,0.0
6,2,Triggers,Strategies,0.0
6,2,Triggers,Threat,1.0
7,40,Appraisals,Memory,0.2611607142857143
7,40,Appraisals,Strategies,0.0
7,40,Appraisals,Threat,0.6901939655172414
7,40,Appraisals,Triggers,0.028125
7,40,Memory,Appraisals,0.0
7,40,Memory,Strategies,0.0
7,40,Memory,Threat,0.354679802955665
7,40,Memory,Triggers,0.0
7,40,Threat,Appraisals,0.0
7,40,Threat,Memory,0.0
7,40,Threat,Strategies,0.1489655172413793
7,40,Threat,Triggers,0.0
7,40,Triggers,Appraisals,0.0
7,40,Triggers,Memory,0.0
7,40,Triggers,Strategies,0.0
7,40,Triggers,Threat,0.178448275862069
8,19,Appraisals,Memory,0.0
8,19,Appraisals,Strategies,0.4166666666666666
8,19,Appraisals,Threat,0.55
8,19,Appraisals,Triggers,0.0
8,19,Memory,Appraisals,0.5416666666666666
8,19,Memory,Strategies,0.0
8,19,Memory,Threat,0.0
8,19,Memory,Triggers,0.0
8,19,Threat,Appraisals,0.0
8,19,Threat,Memory,0.0
8,19,Threat,Strategies,0.4333333333333333
8,19,Threat,Triggers,0.0
8,19,Triggers,Appraisals,0.1359649122807018
8,19,Triggers,Memory,0.0
8,19,Triggers,Strategies,0.0
8,19,Triggers,Threat,0.3052631578947368
9,41,Appraisals,Memory,0.0
9,41,Appraisals,Strategies,0.1388888888888889
9,41,Appraisals,Threat,0.6944444444444444
9,41,Appraisals,Triggers,0.0
9,41,Memory,Appraisals,0.0
9,41,Memory,Strategies,0.0
9,41,Memory,Threat,0.6222222222222222
9,41,Memory,Triggers,0.0
9,41,Threat,Appraisals,0.0
9,41,Threat,Memory,0.0
9,41,Threat,Strategies,0.5555555555555556
9,41,Threat,Triggers,0.0
9,41,Triggers,Appraisals,0.09552845528455285
9,41,Triggers,Memory,0.0
9,41,Triggers,Strategies,0.0
9,41,Triggers,Threat,0.2710027100271003
10,44,Appraisals,Memory,0.0
10,44,Appraisals,Strategies,0.0
10,44,Appraisals,Threat,0.1988636363636364
10,44,Appraisals,Triggers,0.0
10,44,Memory,Appraisals,0.0
10,44,Memory,Strategies,0.06944444444444442
10,44,Memory,Threat,0.3125
10,44,Memory,Triggers,0.05303030303030302
10,44,Threat,Appraisals,0.0
10,44,Threat,Memory,0.0
10,44,Threat,Strategies,0.6319444444444444
10,44,Threat,Triggers,0.0
10,44,Triggers,Appraisals,0.0
10,44,Triggers,Memory,0.1590909090909091
10,44,Triggers,Strategies,0.03914141414141414
10,44,Triggers,Threat,0.5151515151515151
11,42,Appraisals,Memory,0.2666666666666667
11,42,Appraisals,Strategies,0.0
11,42,Appraisals,Threat,0.06666666666666668
11,42,Appraisals,Triggers,0.0
11,42,Memory,Appraisals,0.2666666666666667
11,42,Memory,Strategies,0.2916666666666667
11,42,Memory,Threat,0.2
11,42,Memory,Triggers,0.0
11,42,Threat,Appraisals,0.0
11,42,Threat,Memory,0.0
11,42,Threat,Strategies,0.3166666666666667
11,42,Threat,Triggers,0.0
11,42,Triggers,Appraisals,0.0
11,42,Triggers,Memory,0.1785714285714286
11,42,Triggers,Strategies,0.0
11,42,Triggers,Threat,0.1357142857142857
12,3,Appraisals,Memory,0.0
12,3,Appraisals,Strategies,0.4166666666666667
12,3,Appraisals,Threat,0.8333333333333333
12,3,Appraisals,Triggers,0.0
12,3,Memory,Appraisals,0.6666666666666667
12,3,Memory,Strategies,0.0
12,3,Memory,Threat,0.0
12,3,Memory,Triggers,0.0
12,3,Threat,Appraisals,0.0
12,3,Threat,Memory,0.0
12,3,Threat,Strategies,0.5
12,3,Threat,Triggers,0.0
12,3,Triggers,Appraisals,0.0
12,3,Triggers,Memory,0.0
12,3,Triggers,Strategies,0.0
12,3,Triggers,Threat,0.4166666666666667
13,43,Appraisals,Memory,0.4509803921568628
13,43,Appraisals,Strategies,0.1254901960784314
13,43,Appraisals,Threat,0.675
13,43,Appraisals,Triggers,0.02633378932968536
13,43,Memory,Appraisals,0.1691176470588235
13,43,Memory,Strategies,0.4083333333333333
13,43,Memory,Threat,0.4
13,43,Memory,Triggers,0.05329457364341084
13,43,Threat,Appraisals,0.0
13,43,Threat,Memory,0.0
13,43,Threat,Strategies,0.5
13,43,Threat,Triggers,0.0
13,43,Triggers,Appraisals,0.05266757865937073
13,43,Triggers,Memory,0.1065891472868217
13,43,Triggers,Strategies,0.02829457364341085
13,43,Triggers,Threat,0.1098837209302325
14,36,Appraisals,Memory,0.1634615384615385
14,36,Appraisals,Strategies,0.2051282051282051
14,36,Appraisals,Threat,0.5034965034965035
14,36,Appraisals,Triggers,0.0
14,36,Memory,Appraisals,0.3269230769230769
14,36,Memory,Strategies,0.2916666666666667
14,36,Memory,Threat,0.0
14,36,Memory,Triggers,0.0
14,36,Threat,Appraisals,0.0
14,36,Threat,Memory,0.0
14,36,Threat,Strategies,0.4242424242424242
14,36,Threat,Triggers,0.0
14,36,Triggers,Appraisals,0.2094017094017094
14,36,Triggers,Memory,0.4166666666666666
14,36,Triggers,Strategies,0.0
14,36,Triggers,Threat,0.2373737373737373
15,13,Appraisals,Memory,0.0
15,13,Appraisals,Strategies,0.0
15,13,Appraisals,Threat,0.6192307692307693
15,13,Appraisals,Triggers,0.0
15,13,Memory,Appraisals,0.0
15,13,Memory,Strategies,0.0
15,13,Memory,Threat,0.55
15,13,Memory,Triggers,0.0
15,13,Threat,Appraisals,0.0
15,13,Threat,Memory,0.0
15,13,Threat,Strategies,0.15
15,13,Threat,Triggers,0.0
15,13,Triggers,Appraisals,0.0
15,13,Triggers,Memory,0.0
15,13,Triggers,Strategies,0.0
15,13,Triggers,Threat,0.0
16,24,Appraisals,Memory,0.0
16,24,Appraisals,Strategies,0.0
16,24,Appraisals,Threat,0.5
16,24,Appraisals,Triggers,0.0
16,24,Memory,Appraisals,0.0
16,24,Memory,Strategies,0.0
16,24,Memory,Threat,0.0
16,24,Memory,Triggers,0.0
16,24,Threat,Appraisals,0.0
16,24,Threat,Memory,0.0
16,24,Threat,Strategies,0.25
16,24,Threat,Triggers,0.0
16,24,Triggers,Appraisals,0.0
16,24,Triggers,Memory,0.0
16,24,Triggers,Strategies,0.0
16,24,Triggers,Threat,0.1041666666666667
17,25,Appraisals,Memory,0.1979166666666667
17,25,Appraisals,Strategies,0.2625
17,25,Appraisals,Threat,0.8263888888888888
17,25,Appraisals,Triggers,0.0
17,25,Memory,Appraisals,0.0
17,25,Memory,Strategies,0.2666666666666667
17,25,Memory,Threat,0.1944444444444445
17,25,Memory,Triggers,0.0
17,25,Threat,Appraisals,0.0
17,25,Threat,Memory,0.0
17,25,Threat,Strategies,0.2555555555555555
17,25,Threat,Triggers,0.0
17,25,Triggers,Appraisals,0.1025
17,25,Triggers,Memory,0.1866666666666667
17,25,Triggers,Strategies,0.0
17,25,Triggers,Threat,0.09555555555555553
18,43,Appraisals,Memory,0.3766233766233766
18,43,Appraisals,Strategies,0.08116883116883118
18,43,Appraisals,Threat,0.7382697947214076
18,43,Appraisals,Triggers,0.0
18,43,Memory,Appraisals,0.1883116883116883
18,43,Memory,Strategies,0.4464285714285714
18,43,Memory,Threat,0.4377880184331797
18,43,Memory,Triggers,0.0
18,43,Threat,Appraisals,0.0
18,43,Threat,Memory,0.0
18,43,Threat,Strategies,0.3398617511520737
18,43,Threat,Triggers,0.0
18,43,Triggers,Appraisals,0.0
18,43,Triggers,Memory,0.1661129568106312
18,43,Triggers,Strategies,0.0
18,43,Triggers,Threat,0.0832708177044261
